@RELATION performance

@ATTRIBUTE name string
@ATTRIBUTE cpu numeric
@ATTRIBUTE mem numeric
@ATTRIBUTE proc numeric

@DATA
server0,50,3.571429,25
server1,15.73034,46.55172,6.451613
server2,15.38462,26.45161,9.52381
server3,13.85281,12.65141,11.81435
server4,12.85266,13.26984,7.95107
server5,13.51351,7.656316,10.55156
server6,11.53846,11.75433,10.27668
server7,12.13172,11.7061,10.8291
server8,11.46305,11.76608,10.7511
server9,11.6,11.66628,10.15625
server10,10.77844,11.68802,9.824561
server11,10.73753,11.63765,9.322034
server12,11.1001,11.20145,9.196515
server13,11.14155,11.14177,9.188225
server14,10.99831,11.1353,8.92562
server15,11.02362,11.05946,9.384615
server16,11.34021,11.22403,9.856115
server17,11.41079,11.04711,9.391892
server18,11.34289,10.74435,9.363057
server19,11.35102,10.35675,9.162146
server20,11.54071,10.3565,8.986835
server21,11.53846,10.08433,8.877996
server22,11.74283,9.95075,9.086189
server23,11.27627,10,8.91337
server24,11.42717,9.969662,9.008146
server25,11.38288,10.03591,9.053309
server26,11.56801,9.902268,9.006623
server27,11.30435,9.862094,9.090909
server28,11.18559,9.771419,9.209988
server29,10.54972,9.919682,9.202212
server30,10.46466,10.00081,9.194964
server31,10.30578,10.05245,9.147916
server32,10.37632,10.13102,9.175295
server33,10.54313,10.09395,9.021513
server34,10.70937,10.1025,8.986873
server35,10.79906,10.2631,8.954248
server36,10.72125,10.35171,8.923468
server37,10.7425,10.43131,8.925263
server38,10.82411,10.4999,8.957018
server39,10.75172,10.59697,8.928571
server40,10.59545,10.67961,8.873039
server41,10.50384,10.72005,9.015025
server42,10.55556,10.75441,8.987239
server43,10.49919,10.71016,8.989658
server44,10.4598,9.905821,9.012086
server45,10.48257,9.892595,8.981409
server46,10.50253,10.0584,8.961039
server47,10.49285,10.70142,8.926261
server48,10.50964,10.67449,8.917526
server49,10.56029,10.62625,8.946573
server50,10.47715,10.68169,8.945293
server51,10.35079,10.68794,9.042681
server52,10.26137,10.71972,8.953461
server53,10.21569,10.70432,8.792226
server54,10.16949,10.72569,8.862194
server55,10.37543,10.75736,8.840515
server56,10.35955,10.6563,8.861592
server57,10.34406,10.65024,8.968804
server58,10.37281,10.66625,8.902204
server59,10.45002,10.63698,8.845261
server60,10.4398,10.63337,8.914809
server61,10.43588,10.64771,8.934778
server62,10.45698,10.62961,8.917453
server63,10.29114,10.64069,8.995857
server64,10.29616,10.65761,8.94104
server65,10.31451,10.66256,8.940145
server66,10.33225,10.60541,8.958021
server67,10.29467,10.62021,8.958525
server68,10.36789,10.53564,8.939257
server69,10.45704,10.51584,8.938448
server70,10.34545,10.52159,8.972783
server71,10.23915,10.51765,8.95574
server72,10.22152,10.52608,8.937692
server73,10.1392,10.52539,9.023818
server74,10.22516,10.56133,8.972241
server75,10.17515,10.59878,8.987301
server76,10.19234,10.58997,9.06611
server77,10.16043,10.61569,9.063587
server78,10.1831,10.5997,9.123687
server79,10.14331,10.59624,9.153069
server80,10.21149,10.59257,9.148314
server81,10.05945,10.60041,9.128377
server82,10.10853,10.60806,9.075783
server83,10.16585,10.6229,9.06367
server84,10.11715,10.63247,9.082814
server85,10.14624,10.63681,9.088235
server86,10.1419,10.68073,9.07634
server87,10.14364,10.68266,9.041017
server88,10.11844,10.69369,9.01312
server89,10.16606,10.71161,9.014085
server90,10.15547,10.73726,9.098497
server91,10.1198,10.753,9.032169
